department,date,income
БК,2025-03-13,3577.5
ГП,2025-03-13,37070.0
ДЦ,2025-03-13,13400.0
Массаж,2025-03-13,20090.0
Мероприятия ФД,2025-03-13,550.0
СМ,2025-03-13,2632.5
ТЗ,2025-03-13,107122.5
БК,2025-03-14,7892.5
ГП,2025-03-14,60145.0
ДЦ,2025-03-14,10651.5
Массаж,2025-03-14,19337.5
Мероприятия ФД,2025-03-14,18100.0
СМ,2025-03-14,1803.75
ТЗ,2025-03-14,147583.75
БК,2025-03-15,362.5
ГП,2025-03-15,13903.0
ДЦ,2025-03-15,1605.0
Массаж,2025-03-15,9983.0
СМ,2025-03-15,828.75
ТЗ,2025-03-15,70523.75
БК,2025-03-16,2345.0
ГП,2025-03-16,7850.0
ДЦ,2025-03-16,2245.0
Массаж,2025-03-16,16860.0
Мероприятия ФД,2025-03-16,15550.0
СМ,2025-03-16,1950.0
ТЗ,2025-03-16,39275.0
БК,2025-03-17,4900.0
ГП,2025-03-17,45716.0
ДЦ,2025-03-17,14572.5
Массаж,2025-03-17,13051.5
СМ,2025-03-17,1950.0
ТЗ,2025-03-17,111179.25
БК,2025-03-18,4800.0
ГП,2025-03-18,52150.0
ДЦ,2025-03-18,16860.5
Массаж,2025-03-18,25017.5
СМ,2025-03-18,2925.0
ТЗ,2025-03-18,132762.25
БК,2025-03-19,7470.0
ГП,2025-03-19,50898.25
ДЦ,2025-03-19,20564.0
Массаж,2025-03-19,17476.5
Мероприятия ФД,2025-03-19,15000.0
СМ,2025-03-19,4875.0
ТЗ,2025-03-19,130967.5
БК,2025-03-20,1402.5
ГП,2025-03-20,53536.0
ДЦ,2025-03-20,11492.0
Массаж,2025-03-20,20550.0
СМ,2025-03-20,3607.5
ТЗ,2025-03-20,98014.25
БК,2025-03-21,2450.0
ГП,2025-03-21,44071.0
ДЦ,2025-03-21,13034.5
Массаж,2025-03-21,24026.5
Мероприятия ФД,2025-03-21,-1100.0
СМ,2025-03-21,2778.75
ТЗ,2025-03-21,127377.0
БК,2025-03-22,2637.5
ГП,2025-03-22,24594.0
ДЦ,2025-03-22,5430.0
Массаж,2025-03-22,8610.0
СМ,2025-03-22,1950.0
ТЗ,2025-03-22,78515.5
БК,2025-03-23,1402.5
ГП,2025-03-23,15465.5
ДЦ,2025-03-23,3645.0
Массаж,2025-03-23,6305.0
Мероприятия ФД,2025-03-23,1100.0
СМ,2025-03-23,1957.5
ТЗ,2025-03-23,34322.5
БК,2025-03-24,3920.0
ГП,2025-03-24,36449.0
ДЦ,2025-03-24,15655.0
Массаж,2025-03-24,27637.5
СМ,2025-03-24,3900.0
ТЗ,2025-03-24,121593.25
БК,2025-03-25,3777.5
ГП,2025-03-25,59555.0
ДЦ,2025-03-25,13855.75
Массаж,2025-03-25,14841.5
СМ,2025-03-25,2953.75
ТЗ,2025-03-25,99472.75
БК,2025-03-26,5748.75
ГП,2025-03-26,48157.75
ДЦ,2025-03-26,13341.0
Массаж,2025-03-26,16357.5
Мероприятия ФД,2025-03-26,1100.0
СМ,2025-03-26,4012.5
ТЗ,2025-03-26,118701.5
БК,2025-03-27,7346.25
ГП,2025-03-27,39167.5
ДЦ,2025-03-27,17896.0
Массаж,2025-03-27,21964.0
Мероприятия ФД,2025-03-27,1000.0
СМ,2025-03-27,2145.0
ТЗ,2025-03-27,116833.5
БК,2025-03-28,725.0
ГП,2025-03-28,61122.25
ДЦ,2025-03-28,13231.0
Массаж,2025-03-28,30943.5
Мероприятия ФД,2025-03-28,12800.0
СМ,2025-03-28,3120.0
ТЗ,2025-03-28,102784.0
БК,2025-03-29,5365.0
ГП,2025-03-29,23541.75
ДЦ,2025-03-29,4105.0
Массаж,2025-03-29,5810.0
Мероприятия ФД,2025-03-29,2100.0
СМ,2025-03-29,828.75
ТЗ,2025-03-29,61826.75
БК,2025-03-30,2975.0
ГП,2025-03-30,21413.0
ДЦ,2025-03-30,930.0
Массаж,2025-03-30,4180.0
Мероприятия ФД,2025-03-30,1100.0
СМ,2025-03-30,3753.75
ТЗ,2025-03-30,29730.0
БК,2025-03-31,3808.75
ГП,2025-03-31,47824.0
ДЦ,2025-03-31,12611.0
Массаж,2025-03-31,15413.0
Мероприятия ФД,2025-03-31,7200.0
СМ,2025-03-31,4053.75
ТЗ,2025-03-31,120586.5
ГП,2025-04-01,50937.75
ДЦ,2025-04-01,15141.5
Массаж,2025-04-01,10056.5
Мероприятия ФД,2025-04-01,10300.0
СМ,2025-04-01,3010.0
ТЗ,2025-04-01,103971.75
БК,2025-04-02,2144.25
ГП,2025-04-02,36125.5
ДЦ,2025-04-02,8578.0
Массаж,2025-04-02,12045.0
Мероприятия ФД,2025-04-02,2900.0
СМ,2025-04-02,1100.0
ТЗ,2025-04-02,118147.25
БК,2025-04-03,1450.0
ГП,2025-04-03,48879.5
ДЦ,2025-04-03,6925.0
Массаж,2025-04-03,16460.0
Мероприятия ФД,2025-04-03,7200.0
СМ,2025-04-03,0.0
ТЗ,2025-04-03,105348.5
БК,2025-04-04,5222.5
ГП,2025-04-04,47620.5
ДЦ,2025-04-04,5378.0
Массаж,2025-04-04,23094.5
Мероприятия ФД,2025-04-04,550.0
СМ,2025-04-04,3515.0
ТЗ,2025-04-04,130224.75
БК,2025-04-05,2250.0
ГП,2025-04-05,16400.5
ДЦ,2025-04-05,5189.0
Массаж,2025-04-05,2720.0
СМ,2025-04-05,1100.0
ТЗ,2025-04-05,60352.0
ГП,2025-04-06,14733.5
ДЦ,2025-04-06,2110.0
Массаж,2025-04-06,4385.0
Мероприятия ФД,2025-04-06,1650.0
СМ,2025-04-06,0.0
ТЗ,2025-04-06,26155.0
БК,2025-04-07,3645.0
ГП,2025-04-07,45661.5
ДЦ,2025-04-07,20680.0
Массаж,2025-04-07,13875.0
СМ,2025-04-07,1100.0
ТЗ,2025-04-07,119148.75
БК,2025-04-08,725.0
ГП,2025-04-08,50379.75
ДЦ,2025-04-08,25330.0
Массаж,2025-04-08,30600.0
Мероприятия ФД,2025-04-08,2000.0
СМ,2025-04-08,9178.75
ТЗ,2025-04-08,123879.0
БК,2025-04-09,4155.0
ГП,2025-04-09,62578.0
ДЦ,2025-04-09,18527.5
Массаж,2025-04-09,16780.0
СМ,2025-04-09,5415.0
ТЗ,2025-04-09,123699.5
БК,2025-04-10,5375.0
ГП,2025-04-10,44181.0
ДЦ,2025-04-10,9481.0
Массаж,2025-04-10,26170.0
СМ,2025-04-10,1100.0
ТЗ,2025-04-10,92426.75
БК,2025-04-11,8046.25
ГП,2025-04-11,60704.0
ДЦ,2025-04-11,19942.0
Массаж,2025-04-11,20158.0
Мероприятия ФД,2025-04-11,15000.0
СМ,2025-04-11,0.0
ТЗ,2025-04-11,126723.25
БК,2025-04-12,2885.0
ГП,2025-04-12,26707.25
ДЦ,2025-04-12,8292.0
Массаж,2025-04-12,13848.0
Мероприятия ФД,2025-04-12,550.0
СМ,2025-04-12,4128.75
ТЗ,2025-04-12,79879.0
БК,2025-04-13,2555.0
ГП,2025-04-13,14856.0
ДЦ,2025-04-13,3410.0
Массаж,2025-04-13,1360.0
Мероприятия ФД,2025-04-13,3850.0
СМ,2025-04-13,1100.0
ТЗ,2025-04-13,58803.5
БК,2025-04-14,11196.75
ГП,2025-04-14,45205.5
ДЦ,2025-04-14,19258.0
Массаж,2025-04-14,28045.0
СМ,2025-04-14,0.0
ТЗ,2025-04-14,149348.25
БК,2025-04-15,725.0
ГП,2025-04-15,41125.5
ДЦ,2025-04-15,32369.0
Массаж,2025-04-15,21456.25
СМ,2025-04-15,1100.0
ТЗ,2025-04-15,117991.0
БК,2025-04-16,8173.75
ГП,2025-04-16,59600.5
ДЦ,2025-04-16,16164.5
Массаж,2025-04-16,20055.0
СМ,2025-04-16,0.0
ТЗ,2025-04-16,143196.0
БК,2025-04-17,616.25
ГП,2025-04-17,46544.0
ДЦ,2025-04-17,16287.0
Массаж,2025-04-17,11355.0
СМ,2025-04-17,300.0
ТЗ,2025-04-17,113245.75
БК,2025-04-18,16333.75
ГП,2025-04-18,60601.75
ДЦ,2025-04-18,19396.75
Массаж,2025-04-18,19990.0
СМ,2025-04-18,4150.0
ТЗ,2025-04-18,122781.5
БК,2025-04-19,4911.25
ГП,2025-04-19,22072.25
ДЦ,2025-04-19,1860.0
Массаж,2025-04-19,15602.5
СМ,2025-04-19,2200.0
ТЗ,2025-04-19,62454.0
БК,2025-04-20,510.0
ГП,2025-04-20,10125.0
ДЦ,2025-04-20,930.0
Массаж,2025-04-20,10950.0
Мероприятия ФД,2025-04-20,1100.0
СМ,2025-04-20,3175.0
ТЗ,2025-04-20,20612.5
БК,2025-04-21,6067.5
ГП,2025-04-21,46337.5
ДЦ,2025-04-21,13606.0
Массаж,2025-04-21,20135.0
Мероприятия ФД,2025-04-21,15550.0
СМ,2025-04-21,3028.75
ТЗ,2025-04-21,133245.25
БК,2025-04-22,5307.5
ГП,2025-04-22,81917.25
ДЦ,2025-04-22,20096.0
Массаж,2025-04-22,18645.0
СМ,2025-04-22,2200.0
ТЗ,2025-04-22,110876.0
БК,2025-04-23,9330.0
ГП,2025-04-23,55101.5
ДЦ,2025-04-23,13274.0
Массаж,2025-04-23,30405.0
Мероприятия ФД,2025-04-23,15550.0
СМ,2025-04-23,2200.0
ТЗ,2025-04-23,133976.5
БК,2025-04-24,2320.0
ГП,2025-04-24,51971.0
ДЦ,2025-04-24,16789.0
Массаж,2025-04-24,21765.0
СМ,2025-04-24,3607.5
ТЗ,2025-04-24,118868.5
БК,2025-04-25,5751.25
ГП,2025-04-25,58107.0
ДЦ,2025-04-25,9682.0
Массаж,2025-04-25,21120.0
Мероприятия ФД,2025-04-25,15550.0
СМ,2025-04-25,1100.0
ТЗ,2025-04-25,107684.5
ГП,2025-04-26,14404.25
ДЦ,2025-04-26,1302.0
Массаж,2025-04-26,5865.0
Мероприятия ФД,2025-04-26,2200.0
СМ,2025-04-26,0.0
ТЗ,2025-04-26,61048.5
ГП,2025-04-27,14596.25
ДЦ,2025-04-27,2015.0
Массаж,2025-04-27,8912.5
Мероприятия ФД,2025-04-27,1100.0
ТЗ,2025-04-27,38404.5
БК,2025-04-28,5500.0
ГП,2025-04-28,44176.5
ДЦ,2025-04-28,10076.0
Массаж,2025-04-28,23727.5
СМ,2025-04-28,3300.0
ТЗ,2025-04-28,148172.5
БК,2025-04-29,725.0
ГП,2025-04-29,51380.5
ДЦ,2025-04-29,16953.0
Массаж,2025-04-29,26395.0
СМ,2025-04-29,3520.0
ТЗ,2025-04-29,109278.0
БК,2025-04-30,2450.0
ГП,2025-04-30,48305.5
ДЦ,2025-04-30,8111.5
Массаж,2025-04-30,21380.0
Мероприятия ФД,2025-04-30,2550.0
СМ,2025-04-30,5437.5
ТЗ,2025-04-30,115570.0
БК,2025-05-01,2000.0
ГП,2025-05-01,37287.25
ДЦ,2025-05-01,1820.0
Массаж,2025-05-01,4292.5
Мероприятия ФД,2025-05-01,2200.0
СМ,2025-05-01,1100.0
ТЗ,2025-05-01,61314.5
БК,2025-05-02,5681.0
ГП,2025-05-02,12960.0
ДЦ,2025-05-02,5962.0
Массаж,2025-05-02,6370.0
Мероприятия ФД,2025-05-02,1650.0
СМ,2025-05-02,0.0
ТЗ,2025-05-02,56237.5
БК,2025-05-03,2722.5
ГП,2025-05-03,2210.0
ДЦ,2025-05-03,1815.0
Массаж,2025-05-03,4285.0
Мероприятия ФД,2025-05-03,1100.0
СМ,2025-05-03,3300.0
ТЗ,2025-05-03,50398.0
БК,2025-05-04,1402.5
ГП,2025-05-04,13580.0
ДЦ,2025-05-04,1390.0
Массаж,2025-05-04,1520.0
СМ,2025-05-04,0.0
ТЗ,2025-05-04,29881.0
БК,2025-05-05,6477.5
ГП,2025-05-05,33721.0
ДЦ,2025-05-05,11237.5
Массаж,2025-05-05,4590.0
СМ,2025-05-05,600.0
ТЗ,2025-05-05,121594.0
ГП,2025-05-06,65064.0
ДЦ,2025-05-06,22002.75
Массаж,2025-05-06,12770.0
СМ,2025-05-06,2035.0
ТЗ,2025-05-06,116057.75
БК,2025-05-07,5633.75
ГП,2025-05-07,69554.75
ДЦ,2025-05-07,8537.0
Массаж,2025-05-07,20510.0
СМ,2025-05-07,3963.75
ТЗ,2025-05-07,110684.75
БК,2025-05-08,1341.25
